,Unnamed: 0,file,lex_ocr,fk_ocr,flesch_ocr,lex_gold,fk_gold,flesch_gold,CER
129,129,GALE_CK2349000265.txt,0.8,13.600858585858584,39.85920454545456,0.6245059288537549,14.196832718327189,31.882658364083653,0.4349570200573066
130,130,GALE_CK2349002724.txt,0.6683333333333333,11.591322584414064,52.09814172216383,0.5353356890459364,12.642245740836348,43.60901652039237,0.20439623180131317
131,131,GALE_CK2349004027.txt,0.614307931570762,13.913764044943822,59.36578356002366,0.3584905660377358,16.044089244089246,25.596930569430583,0.495253164556962
132,132,GALE_CK2349004154.txt,0.6532258064516129,7.139953161592505,63.08112751140146,0.5738095238095238,11.319692561983471,47.00030247933887,0.305125558995528
133,133,GALE_CK2349005650.txt,0.490234375,16.071153846153845,35.3963461538462,0.4093457943925234,15.415942028985508,34.20092677345542,0.14029850746268657
134,134,GALE_CK2349012763.txt,0.5771065182829889,13.582250000000002,48.73908333333336,0.3823109843081312,10.252973578524628,50.90226886493343,0.31808460076045625
135,135,GALE_CK2349013318.txt,0.6818181818181818,20.46176315789474,49.858217105263165,0.5086042065009561,11.609519419237747,49.50360145190564,0.6486238532110091
136,136,GALE_CK2349013451.txt,0.7603911980440098,19.163488372093024,31.174651162790724,0.6411483253588517,14.491592920353984,31.83116208663253,0.4609704641350211
137,137,GALE_CK2349013669.txt,0.5620272314674736,8.985250116877047,73.4081116360326,0.3685410334346504,9.152072336265888,53.53401759530792,0.42734733285059134
138,138,GALE_CK2349015046.txt,0.7489711934156379,7.996349206349208,70.70000000000003,0.4640883977900552,10.44077785731329,49.81137616320689,0.578719723183391
139,139,GALE_CK2349017179.txt,0.4049586776859504,11.837394317394317,46.68378898128901,0.3524663677130045,12.52972525653757,41.99924031777559,0.1
140,140,GALE_CK2349020262.txt,0.6137026239067055,19.284722222222225,38.852500000000006,0.4173789173789173,14.445165692007798,37.208937621832405,0.2668507016333103
141,141,GALE_CK2349074564.txt,0.5176758837941897,10.047167008265353,57.51596973837562,0.3459534560611323,13.69195108077361,38.63631541524461,0.24175459919341472
